Score,Gender,Accepted
577,Female,1
700,Female,1
997,Female,1
983,Female,1
487,Female,1
798,Female,1
777,Female,1
622,Female,1
901,Female,1
714,Female,1
633,Female,1
298,Female,1
687,Female,1
557,Female,1
810,Female,1
896,Female,1
834,Female,1
988,Female,1
704,Female,1
673,Female,1
511,Female,1
775,Female,1
672,Female,1
614,Female,1
574,Female,1
702,Female,1
955,Female,1
398,Female,1
467,Female,1
548,Female,1
877,Female,1
710,Female,1
933,Female,1
337,Female,1
682,Female,1
982,Female,1
621,Female,1
408,Female,1
361,Female,1
916,Female,1
434,Female,1
794,Female,1
727,Female,1
953,Female,1
177,Female,1
943,Female,1
510,Female,1
807,Female,1
781,Female,1
917,Female,1
872,Female,1
858,Female,1
862,Female,1
653,Female,1
766,Female,1
63,Female,1
734,Female,1
792,Female,1
525,Female,1
793,Female,1
548,Female,1
298,Female,1
408,Female,1
702,Female,1
621,Female,1
916,Female,1
298,Female,1
687,Female,1
63,Female,1
510,Female,1
953,Female,1
687,Female,1
933,Female,1
793,Female,1
408,Female,1
933,Female,1
917,Female,1
714,Female,1
933,Female,1
577,Female,1
487,Female,1
793,Female,1
727,Female,1
997,Female,1
687,Female,1
682,Female,1
614,Female,1
673,Female,1
361,Female,1
653,Female,1
798,Female,1
614,Female,1
574,Female,1
807,Female,1
621,Female,1
714,Female,1
487,Female,0
628,Female,0
42,Female,0
808,Female,0
516,Female,0
55,Female,0
49,Female,0
871,Female,0
499,Female,0
644,Female,0
308,Female,0
120,Female,0
715,Female,0
650,Female,0
357,Female,0
809,Female,0
161,Female,0
309,Female,0
56,Female,0
180,Female,0
469,Female,0
131,Female,0
430,Female,0
791,Female,0
293,Female,0
571,Female,0
15,Female,0
702,Female,0
307,Female,0
405,Female,0
370,Female,0
666,Female,0
238,Female,0
783,Female,0
312,Female,0
973,Female,0
887,Female,0
280,Female,0
187,Female,0
446,Female,0
14,Female,0
371,Female,0
368,Female,0
200,Female,0
133,Female,0
97,Female,0
333,Female,0
121,Female,0
701,Female,0
641,Female,0
987,Female,0
654,Female,0
933,Female,0
157,Female,0
736,Female,0
800,Female,0
107,Female,0
628,Female,0
772,Female,0
107,Female,0
439,Female,0
519,Female,0
980,Female,0
1,Female,0
130,Female,0
980,Female,0
461,Female,0
9,Female,0
112,Female,0
753,Female,0
116,Female,0
147,Female,0
140,Female,0
307,Female,0
646,Female,0
850,Female,0
602,Female,0
164,Female,0
166,Female,0
54,Female,0
445,Female,0
21,Female,0
259,Female,0
611,Female,0
349,Female,0
123,Female,0
60,Female,0
870,Female,0
949,Female,0
282,Female,0
394,Female,0
870,Female,0
467,Female,0
693,Female,0
300,Female,0
257,Female,0
36,Female,0
177,Female,0
113,Female,0
217,Female,0
369,Female,0
392,Female,0
557,Female,0
247,Female,0
690,Female,0
962,Female,0
359,Female,0
228,Female,0
69,Female,0
299,Female,0
305,Female,0
785,Female,0
10,Female,0
428,Female,0
287,Female,0
138,Female,0
487,Female,0
359,Female,0
816,Female,0
830,Female,0
692,Female,0
852,Female,0
159,Female,0
250,Female,0
29,Female,0
217,Female,0
456,Female,0
874,Female,0
830,Female,0
32,Female,0
208,Female,0
229,Female,0
842,Female,0
424,Female,0
278,Female,0
196,Female,0
122,Female,0
241,Female,0
61,Female,0
528,Female,0
511,Female,0
935,Female,0
784,Female,0
661,Female,0
536,Female,0
175,Female,0
125,Female,0
553,Female,0
600,Female,0
643,Female,0
784,Female,0
112,Female,0
212,Female,0
120,Female,0
988,Male,1
729,Male,1
758,Male,1
567,Male,1
449,Male,1
502,Male,1
484,Male,1
228,Male,1
633,Male,1
746,Male,1
855,Male,1
860,Male,1
491,Male,1
918,Male,1
292,Male,1
648,Male,1
677,Male,1
441,Male,1
849,Male,1
929,Male,1
663,Male,1
470,Male,1
950,Male,1
461,Male,1
543,Male,1
864,Male,1
902,Male,1
552,Male,1
934,Male,1
617,Male,1
814,Male,1
896,Male,1
300,Male,1
409,Male,1
827,Male,1
778,Male,1
726,Male,1
863,Male,1
927,Male,1
792,Male,1
874,Male,1
583,Male,1
997,Male,1
713,Male,1
941,Male,1
565,Male,1
803,Male,1
862,Male,1
339,Male,1
930,Male,1
883,Male,1
969,Male,1
847,Male,1
821,Male,1
624,Male,1
115,Male,1
913,Male,1
867,Male,1
927,Male,1
983,Male,1
984,Male,1
616,Male,1
506,Male,1
951,Male,1
544,Male,1
461,Male,1
622,Male,1
708,Male,1
882,Male,1
447,Male,1
693,Male,1
968,Male,1
534,Male,1
608,Male,1
862,Male,1
267,Male,1
414,Male,1
856,Male,1
683,Male,1
974,Male,1
872,Male,1
370,Male,1
912,Male,1
812,Male,1
284,Male,1
380,Male,1
235,Male,1
634,Male,1
773,Male,1
368,Male,1
804,Male,1
572,Male,1
223,Male,1
989,Male,1
976,Male,1
494,Male,1
551,Male,0
691,Male,0
771,Male,0
324,Male,0
3,Male,0
77,Male,0
709,Male,0
643,Male,0
864,Male,0
513,Male,0
540,Male,0
932,Male,0
369,Male,0
702,Male,0
677,Male,0
269,Male,0
708,Male,0
614,Male,0
614,Male,0
84,Male,0
99,Male,0
214,Male,0
435,Male,0
463,Male,0
381,Male,0
749,Male,0
545,Male,0
23,Male,0
13,Male,0
682,Male,0
546,Male,0
238,Male,0
86,Male,0
96,Male,0
427,Male,0
141,Male,0
352,Male,0
197,Male,0
36,Male,0
84,Male,0
337,Male,0
89,Male,0
133,Male,0
147,Male,0
207,Male,0
226,Male,0
8,Male,0
699,Male,0
479,Male,0
571,Male,0
120,Male,0
615,Male,0
380,Male,0
633,Male,0
195,Male,0
843,Male,0
190,Male,0
154,Male,0
405,Male,0
600,Male,0
209,Male,0
45,Male,0
75,Male,0
