Score,Gender,Accepted
577.0,Female,1.0
525.0,Male,0.0
672.0,Male,0.0
700.0,Female,1.0
732.0,Female,0.0
734.0,Male,0.0
983.0,Male,1.0
997.0,Female,1.0
124.0,Female,0.0
487.0,Female,0.0
983.0,Female,1.0
247.0,Male,1.0
628.0,Female,0.0
42.0,Female,0.0
808.0,Female,0.0
673.0,Male,1.0
286.0,Male,0.0
710.0,Male,1.0
732.0,Male,1.0
516.0,Female,0.0
55.0,Female,0.0
1.0,Male,0.0
27.0,Female,0.0
55.0,Male,0.0
487.0,Female,1.0
704.0,Male,1.0
371.0,Male,1.0
700.0,Male,0.0
548.0,Male,1.0
760.0,Male,1.0
634.0,Male,0.0
808.0,Male,0.0
370.0,Male,1.0
446.0,Male,1.0
736.0,Male,1.0
430.0,Male,1.0
49.0,Female,0.0
871.0,Female,0.0
469.0,Male,0.0
798.0,Female,1.0
400.0,Male,1.0
208.0,Male,1.0
790.0,Female,0.0
777.0,Female,1.0
499.0,Male,0.0
896.0,Male,0.0
307.0,Male,0.0
499.0,Female,0.0
692.0,Male,0.0
628.0,Male,1.0
644.0,Female,0.0
622.0,Female,1.0
653.0,Male,0.0
715.0,Male,1.0
229.0,Male,0.0
308.0,Female,0.0
120.0,Female,0.0
819.0,Female,0.0
715.0,Female,0.0
901.0,Female,1.0
792.0,Male,1.0
714.0,Female,1.0
633.0,Female,1.0
798.0,Male,1.0
693.0,Male,0.0
600.0,Male,0.0
650.0,Female,0.0
357.0,Female,0.0
434.0,Male,1.0
600.0,Male,0.0
60.0,Male,0.0
809.0,Female,0.0
97.0,Male,0.0
161.0,Female,0.0
309.0,Female,0.0
180.0,Male,0.0
56.0,Female,0.0
298.0,Female,1.0
180.0,Female,0.0
363.0,Male,0.0
469.0,Female,0.0
131.0,Female,0.0
400.0,Male,0.0
687.0,Female,1.0
557.0,Female,1.0
872.0,Male,1.0
131.0,Female,0.0
259.0,Male,1.0
430.0,Female,0.0
791.0,Female,0.0
641.0,Male,1.0
321.0,Male,0.0
727.0,Male,0.0
40.0,Female,0.0
293.0,Female,0.0
363.0,Female,0.0
516.0,Male,0.0
332.0,Male,1.0
976.0,Female,0.0
810.0,Female,1.0
571.0,Female,0.0
15.0,Female,0.0
15.0,Male,0.0
702.0,Female,0.0
896.0,Female,1.0
307.0,Female,0.0
10.0,Male,0.0
653.0,Male,1.0
405.0,Female,0.0
368.0,Male,1.0
370.0,Female,0.0
791.0,Male,1.0
877.0,Male,1.0
666.0,Female,0.0
238.0,Female,0.0
643.0,Male,1.0
424.0,Male,1.0
661.0,Male,0.0
935.0,Male,1.0
686.0,Female,0.0
398.0,Male,1.0
834.0,Female,1.0
783.0,Female,0.0
312.0,Female,0.0
794.0,Male,1.0
510.0,Male,1.0
808.0,Male,1.0
988.0,Female,1.0
519.0,Male,0.0
217.0,Male,0.0
973.0,Female,0.0
887.0,Female,0.0
277.0,Female,0.0
852.0,Male,1.0
61.0,Male,0.0
280.0,Female,0.0
91.0,Male,0.0
361.0,Male,0.0
528.0,Male,1.0
125.0,Male,0.0
704.0,Female,1.0
187.0,Female,0.0
901.0,Male,1.0
611.0,Male,1.0
446.0,Female,0.0
14.0,Female,0.0
300.0,Male,0.0
164.0,Male,0.0
781.0,Male,1.0
371.0,Female,0.0
27.0,Male,0.0
60.0,Male,0.0
368.0,Female,0.0
287.0,Male,0.0
200.0,Female,0.0
133.0,Female,0.0
69.0,Male,0.0
842.0,Male,1.0
97.0,Female,0.0
333.0,Female,0.0
121.0,Female,0.0
701.0,Female,0.0
439.0,Female,0.0
641.0,Female,0.0
987.0,Female,0.0
575.0,Male,1.0
278.0,Male,1.0
337.0,Male,1.0
862.0,Male,1.0
654.0,Female,0.0
122.0,Male,0.0
933.0,Female,0.0
157.0,Female,0.0
736.0,Female,0.0
819.0,Male,1.0
131.0,Male,0.0
800.0,Female,0.0
784.0,Male,1.0
100.0,Female,0.0
277.0,Male,1.0
628.0,Female,0.0
369.0,Female,0.0
175.0,Male,0.0
772.0,Female,0.0
200.0,Male,0.0
650.0,Male,1.0
100.0,Female,0.0
8.0,Male,0.0
687.0,Male,0.0
439.0,Female,0.0
519.0,Female,0.0
980.0,Female,0.0
933.0,Male,1.0
775.0,Male,1.0
428.0,Male,0.0
1.0,Female,0.0
742.0,Male,1.0
553.0,Male,0.0
130.0,Female,0.0
690.0,Male,1.0
980.0,Female,0.0
461.0,Female,0.0
8.0,Female,0.0
111.0,Female,0.0
116.0,Male,0.0
753.0,Female,0.0
709.0,Male,1.0
116.0,Female,0.0
601.0,Male,0.0
807.0,Male,1.0
312.0,Male,0.0
120.0,Female,0.0
673.0,Female,1.0
874.0,Male,1.0
147.0,Female,0.0
753.0,Male,1.0
511.0,Female,1.0
775.0,Female,1.0
672.0,Female,1.0
628.0,Male,0.0
816.0,Male,1.0
916.0,Male,1.0
140.0,Female,0.0
307.0,Female,0.0
646.0,Female,0.0
988.0,Male,1.0
614.0,Female,1.0
159.0,Male,0.0
571.0,Male,1.0
850.0,Female,0.0
997.0,Male,1.0
785.0,Male,0.0
153.0,Male,0.0
858.0,Male,1.0
133.0,Male,0.0
574.0,Female,1.0
602.0,Female,0.0
643.0,Male,1.0
10.0,Female,0.0
164.0,Female,0.0
166.0,Female,0.0
333.0,Male,0.0
701.0,Male,1.0
140.0,Male,1.0
634.0,Female,0.0
54.0,Female,0.0
577.0,Male,0.0
445.0,Female,0.0
917.0,Male,1.0
702.0,Female,1.0
654.0,Male,1.0
21.0,Female,0.0
536.0,Male,1.0
766.0,Male,1.0
177.0,Male,0.0
259.0,Female,0.0
722.0,Female,0.0
800.0,Male,1.0
293.0,Male,1.0
955.0,Female,1.0
398.0,Female,1.0
611.0,Female,0.0
467.0,Female,1.0
790.0,Female,0.0
286.0,Female,0.0
548.0,Female,1.0
349.0,Female,0.0
123.0,Female,0.0
887.0,Male,1.0
34.0,Male,0.0
60.0,Female,0.0
834.0,Male,1.0
870.0,Female,0.0
949.0,Female,0.0
282.0,Female,0.0
49.0,Male,0.0
877.0,Female,1.0
238.0,Male,0.0
742.0,Female,0.0
394.0,Female,0.0
400.0,Female,0.0
962.0,Male,1.0
870.0,Female,0.0
166.0,Male,0.0
21.0,Male,0.0
710.0,Female,1.0
790.0,Male,1.0
467.0,Female,0.0
15.0,Male,0.0
933.0,Female,1.0
783.0,Male,1.0
337.0,Female,1.0
682.0,Female,1.0
693.0,Female,0.0
38.0,Male,0.0
91.0,Female,0.0
122.0,Male,0.0
217.0,Male,1.0
298.0,Male,0.0
621.0,Male,1.0
159.0,Male,0.0
753.0,Male,1.0
300.0,Female,0.0
257.0,Female,0.0
113.0,Male,1.0
982.0,Female,1.0
871.0,Male,1.0
36.0,Female,0.0
809.0,Male,1.0
321.0,Female,0.0
177.0,Female,0.0
41.0,Female,0.0
34.0,Female,0.0
621.0,Female,1.0
113.0,Female,0.0
217.0,Female,0.0
14.0,Male,0.0
408.0,Female,1.0
369.0,Female,0.0
874.0,Male,1.0
280.0,Male,0.0
980.0,Male,1.0
392.0,Female,0.0
557.0,Female,0.0
467.0,Male,0.0
247.0,Female,0.0
690.0,Female,0.0
962.0,Female,0.0
161.0,Male,0.0
574.0,Male,0.0
359.0,Female,0.0
228.0,Female,0.0
69.0,Female,0.0
982.0,Male,1.0
124.0,Male,0.0
361.0,Female,1.0
299.0,Female,0.0
305.0,Female,0.0
157.0,Male,0.0
916.0,Female,1.0
785.0,Female,0.0
42.0,Male,0.0
456.0,Male,0.0
10.0,Female,0.0
153.0,Female,0.0
286.0,Male,0.0
602.0,Male,1.0
282.0,Male,0.0
644.0,Male,0.0
461.0,Male,1.0
434.0,Female,1.0
27.0,Male,0.0
428.0,Female,0.0
36.0,Male,0.0
722.0,Male,1.0
41.0,Male,0.0
943.0,Male,1.0
794.0,Female,1.0
287.0,Female,0.0
138.0,Female,0.0
147.0,Male,0.0
487.0,Female,0.0
727.0,Female,1.0
953.0,Female,1.0
359.0,Female,0.0
816.0,Female,0.0
177.0,Female,1.0
830.0,Female,0.0
943.0,Female,1.0
692.0,Female,0.0
510.0,Female,1.0
852.0,Female,0.0
709.0,Female,0.0
760.0,Female,0.0
511.0,Male,1.0
349.0,Male,0.0
398.0,Male,1.0
614.0,Male,1.0
807.0,Female,1.0
159.0,Female,0.0
250.0,Female,0.0
781.0,Female,1.0
693.0,Male,1.0
456.0,Male,0.0
830.0,Male,1.0
408.0,Male,1.0
369.0,Male,1.0
56.0,Male,0.0
29.0,Female,0.0
917.0,Female,1.0
309.0,Male,0.0
217.0,Female,0.0
456.0,Female,0.0
874.0,Female,0.0
830.0,Female,0.0
682.0,Male,1.0
955.0,Male,1.0
121.0,Male,0.0
686.0,Male,1.0
32.0,Female,0.0
487.0,Male,1.0
589.0,Male,1.0
800.0,Male,1.0
208.0,Female,0.0
228.0,Male,1.0
426.0,Male,0.0
872.0,Female,1.0
29.0,Male,0.0
357.0,Male,0.0
928.0,Female,0.0
359.0,Male,1.0
229.0,Female,0.0
858.0,Female,1.0
842.0,Female,0.0
130.0,Male,0.0
793.0,Male,1.0
666.0,Male,1.0
601.0,Female,0.0
714.0,Male,1.0
349.0,Male,1.0
392.0,Male,0.0
850.0,Female,0.0
622.0,Male,1.0
138.0,Male,0.0
862.0,Female,1.0
973.0,Male,1.0
187.0,Male,0.0
257.0,Male,0.0
810.0,Male,1.0
332.0,Female,0.0
424.0,Female,0.0
278.0,Female,0.0
553.0,Male,0.0
196.0,Female,0.0
308.0,Male,1.0
122.0,Female,0.0
111.0,Male,0.0
870.0,Male,1.0
241.0,Female,0.0
61.0,Female,0.0
528.0,Female,0.0
511.0,Female,0.0
928.0,Male,1.0
949.0,Male,1.0
653.0,Female,1.0
777.0,Male,1.0
394.0,Male,1.0
935.0,Female,0.0
784.0,Female,0.0
661.0,Female,0.0
426.0,Female,0.0
536.0,Female,0.0
646.0,Male,0.0
766.0,Female,1.0
250.0,Male,1.0
916.0,Male,1.0
63.0,Female,1.0
312.0,Male,1.0
575.0,Female,0.0
175.0,Female,0.0
120.0,Male,0.0
953.0,Male,0.0
54.0,Male,0.0
125.0,Female,0.0
241.0,Male,0.0
553.0,Female,0.0
212.0,Male,1.0
164.0,Male,0.0
633.0,Male,1.0
600.0,Female,0.0
736.0,Male,1.0
305.0,Male,1.0
308.0,Female,0.0
299.0,Male,0.0
643.0,Female,0.0
772.0,Male,1.0
100.0,Male,0.0
784.0,Female,0.0
734.0,Female,1.0
111.0,Female,0.0
405.0,Male,1.0
702.0,Male,0.0
557.0,Male,1.0
196.0,Male,1.0
212.0,Female,0.0
987.0,Male,1.0
120.0,Female,0.0
445.0,Male,1.0
63.0,Male,0.0
40.0,Male,0.0
792.0,Female,1.0
589.0,Female,0.0
525.0,Female,1.0
850.0,Male,0.0
793.0,Female,1.0
976.0,Male,1.0
38.0,Female,0.0
439.0,Male,1.0
123.0,Male,0.0
32.0,Male,0.0
