Score,Gender,Accepted
732,Female,0
124,Female,0
487,Female,0
628,Female,0
42,Female,0
808,Female,0
516,Female,0
55,Female,0
27,Female,0
49,Female,0
871,Female,0
790,Female,0
499,Female,0
644,Female,0
308,Female,0
120,Female,0
819,Female,0
715,Female,0
650,Female,0
357,Female,0
809,Female,0
161,Female,0
309,Female,0
56,Female,0
180,Female,0
469,Female,0
131,Female,0
131,Female,0
430,Female,0
791,Female,0
40,Female,0
293,Female,0
363,Female,0
978,Female,0
571,Female,0
15,Female,0
702,Female,0
307,Female,0
405,Female,0
370,Female,0
666,Female,0
238,Female,0
686,Female,0
783,Female,0
312,Female,0
973,Female,0
887,Female,0
277,Female,0
280,Female,0
187,Female,0
446,Female,0
14,Female,0
371,Female,0
368,Female,0
200,Female,0
133,Female,0
97,Female,0
333,Female,0
121,Female,0
701,Female,0
439,Female,0
641,Female,0
987,Female,0
654,Female,0
933,Female,0
157,Female,0
736,Female,0
800,Female,0
107,Female,0
628,Female,0
369,Female,0
772,Female,0
107,Female,0
439,Female,0
519,Female,0
980,Female,0
1,Female,0
130,Female,0
980,Female,0
461,Female,0
9,Female,0
112,Female,0
753,Female,0
116,Female,0
120,Female,0
147,Female,0
140,Female,0
307,Female,0
646,Female,0
850,Female,0
602,Female,0
10,Female,0
164,Female,0
166,Female,0
634,Female,0
54,Female,0
445,Female,0
21,Female,0
259,Female,0
722,Female,0
611,Female,0
790,Female,0
286,Female,0
349,Female,0
123,Female,0
60,Female,0
870,Female,0
949,Female,0
282,Female,0
742,Female,0
394,Female,0
400,Female,0
870,Female,0
467,Female,0
693,Female,0
91,Female,0
300,Female,0
257,Female,0
36,Female,0
321,Female,0
177,Female,0
41,Female,0
34,Female,0
113,Female,0
217,Female,0
369,Female,0
392,Female,0
557,Female,0
247,Female,0
690,Female,0
962,Female,0
359,Female,0
228,Female,0
69,Female,0
299,Female,0
305,Female,0
785,Female,0
10,Female,0
153,Female,0
428,Female,0
287,Female,0
138,Female,0
487,Female,0
359,Female,0
816,Female,0
830,Female,0
692,Female,0
852,Female,0
709,Female,0
760,Female,0
159,Female,0
250,Female,0
29,Female,0
217,Female,0
456,Female,0
874,Female,0
830,Female,0
32,Female,0
208,Female,0
928,Female,0
229,Female,0
842,Female,0
601,Female,0
850,Female,0
332,Female,0
424,Female,0
278,Female,0
196,Female,0
122,Female,0
241,Female,0
61,Female,0
528,Female,0
511,Female,0
935,Female,0
784,Female,0
661,Female,0
426,Female,0
536,Female,0
575,Female,0
175,Female,0
125,Female,0
553,Female,0
600,Female,0
308,Female,0
643,Female,0
784,Female,0
112,Female,0
212,Female,0
120,Female,0
589,Female,0
38,Female,0
349,Female,0
369,Female,0
69,Female,0
499,Female,0
307,Female,0
180,Female,0
446,Female,0
461,Female,0
424,Female,0
446,Female,0
10,Female,0
196,Female,0
654,Female,0
641,Female,0
394,Female,0
187,Female,0
430,Female,0
644,Female,0
286,Female,0
445,Female,0
469,Female,0
208,Female,0
692,Female,0
122,Female,0
36,Female,0
887,Female,0
122,Female,0
830,Female,0
107,Female,0
278,Female,0
519,Female,0
175,Female,0
980,Female,0
21,Female,0
852,Female,0
36,Female,0
760,Female,0
97,Female,0
536,Female,0
742,Female,0
10,Female,0
962,Female,0
41,Female,0
949,Female,0
278,Female,0
850,Female,0
784,Female,0
816,Female,0
368,Female,0
10,Female,0
369,Female,0
107,Female,0
487,Female,0
686,Female,0
238,Female,0
887,Female,0
870,Female,0
69,Female,0
628,Female,0
400,Female,0
551,Male,0
691,Male,0
771,Male,0
324,Male,0
3,Male,0
77,Male,0
709,Male,0
643,Male,0
864,Male,0
513,Male,0
540,Male,0
