Score,Gender,Accepted
577,Female,1
700,Female,1
732,Female,0
997,Female,1
124,Female,0
487,Female,0
983,Female,1
628,Female,0
42,Female,0
808,Female,0
516,Female,0
55,Female,0
27,Female,0
487,Female,1
49,Female,0
871,Female,0
798,Female,1
790,Female,0
777,Female,1
499,Female,0
644,Female,0
622,Female,1
308,Female,0
120,Female,0
819,Female,0
715,Female,0
901,Female,1
714,Female,1
633,Female,1
650,Female,0
357,Female,0
809,Female,0
161,Female,0
309,Female,0
56,Female,0
298,Female,1
180,Female,0
469,Female,0
131,Female,0
687,Female,1
557,Female,1
131,Female,0
430,Female,0
791,Female,0
40,Female,0
293,Female,0
363,Female,0
978,Female,0
810,Female,1
571,Female,0
15,Female,0
702,Female,0
896,Female,1
307,Female,0
405,Female,0
370,Female,0
666,Female,0
238,Female,0
686,Female,0
834,Female,1
783,Female,0
312,Female,0
988,Female,1
973,Female,0
887,Female,0
277,Female,0
280,Female,0
704,Female,1
187,Female,0
446,Female,0
14,Female,0
371,Female,0
368,Female,0
200,Female,0
133,Female,0
97,Female,0
333,Female,0
121,Female,0
701,Female,0
439,Female,0
641,Female,0
987,Female,0
654,Female,0
933,Female,0
157,Female,0
736,Female,0
800,Female,0
107,Female,0
628,Female,0
369,Female,0
772,Female,0
107,Female,0
439,Female,0
519,Female,0
980,Female,0
1,Female,0
130,Female,0
980,Female,0
461,Female,0
9,Female,0
112,Female,0
753,Female,0
116,Female,0
120,Female,0
673,Female,1
147,Female,0
511,Female,1
775,Female,1
672,Female,1
140,Female,0
307,Female,0
646,Female,0
614,Female,1
850,Female,0
574,Female,1
602,Female,0
10,Female,0
164,Female,0
166,Female,0
634,Female,0
54,Female,0
445,Female,0
702,Female,1
21,Female,0
259,Female,0
722,Female,0
955,Female,1
398,Female,1
611,Female,0
467,Female,1
790,Female,0
286,Female,0
548,Female,1
349,Female,0
123,Female,0
60,Female,0
870,Female,0
949,Female,0
282,Female,0
877,Female,1
742,Female,0
394,Female,0
400,Female,0
870,Female,0
710,Female,1
467,Female,0
933,Female,1
337,Female,1
682,Female,1
693,Female,0
91,Female,0
300,Female,0
257,Female,0
982,Female,1
36,Female,0
321,Female,0
177,Female,0
41,Female,0
34,Female,0
621,Female,1
113,Female,0
217,Female,0
408,Female,1
369,Female,0
392,Female,0
557,Female,0
247,Female,0
690,Female,0
962,Female,0
359,Female,0
228,Female,0
69,Female,0
361,Female,1
299,Female,0
305,Female,0
916,Female,1
785,Female,0
10,Female,0
153,Female,0
434,Female,1
428,Female,0
794,Female,1
287,Female,0
138,Female,0
487,Female,0
727,Female,1
953,Female,1
359,Female,0
816,Female,0
177,Female,1
830,Female,0
943,Female,1
692,Female,0
510,Female,1
852,Female,0
709,Female,0
760,Female,0
807,Female,1
159,Female,0
250,Female,0
781,Female,1
29,Female,0
917,Female,1
217,Female,0
456,Female,0
874,Female,0
830,Female,0
32,Female,0
208,Female,0
872,Female,1
928,Female,0
229,Female,0
858,Female,1
842,Female,0
601,Female,0
850,Female,0
862,Female,1
332,Female,0
424,Female,0
278,Female,0
196,Female,0
122,Female,0
241,Female,0
61,Female,0
528,Female,0
511,Female,0
653,Female,1
935,Female,0
784,Female,0
661,Female,0
426,Female,0
536,Female,0
766,Female,1
63,Female,1
575,Female,0
175,Female,0
125,Female,0
553,Female,0
600,Female,0
308,Female,0
643,Female,0
784,Female,0
734,Female,1
112,Female,0
212,Female,0
120,Female,0
792,Female,1
589,Female,0
525,Female,1
793,Female,1
38,Female,0
551,Male,0
691,Male,0
771,Male,0
988,Male,1
279,Male,1
692,Male,1
324,Male,0
729,Male,1
758,Male,1
3,Male,0
77,Male,0
721,Male,1
451,Male,1
709,Male,0
567,Male,1
799,Male,1
643,Male,0
864,Male,0
449,Male,1
502,Male,1
773,Male,1
484,Male,1
513,Male,0
463,Male,1
228,Male,1
540,Male,0
932,Male,0
369,Male,0
702,Male,0
633,Male,1
677,Male,0
746,Male,1
269,Male,0
855,Male,1
860,Male,1
708,Male,0
614,Male,0
491,Male,1
614,Male,0
84,Male,0
99,Male,0
214,Male,0
435,Male,0
463,Male,0
918,Male,1
292,Male,1
648,Male,1
381,Male,0
749,Male,0
545,Male,0
383,Male,1
23,Male,0
13,Male,0
677,Male,1
441,Male,1
849,Male,1
929,Male,1
663,Male,1
470,Male,1
682,Male,0
950,Male,1
461,Male,1
857,Male,1
543,Male,1
864,Male,1
546,Male,0
238,Male,0
902,Male,1
86,Male,0
96,Male,0
427,Male,0
552,Male,1
141,Male,0
934,Male,1
617,Male,1
352,Male,0
197,Male,0
814,Male,1
36,Male,0
84,Male,0
337,Male,0
89,Male,0
896,Male,1
597,Male,1
300,Male,1
409,Male,1
911,Male,1
133,Male,0
879,Male,1
147,Male,0
827,Male,1
294,Male,1
207,Male,0
226,Male,0
673,Male,1
8,Male,0
699,Male,0
948,Male,1
810,Male,1
479,Male,0
778,Male,1
571,Male,0
701,Male,1
120,Male,0
726,Male,1
615,Male,0
863,Male,1
380,Male,0
927,Male,1
792,Male,1
633,Male,0
874,Male,1
938,Male,1
992,Male,1
195,Male,0
583,Male,1
997,Male,1
843,Male,0
190,Male,0
904,Male,1
154,Male,0
663,Male,1
405,Male,0
713,Male,1
159,Male,1
600,Male,0
941,Male,1
681,Male,1
565,Male,1
803,Male,1
209,Male,0
862,Male,1
339,Male,1
930,Male,1
45,Male,0
883,Male,1
75,Male,0
273,Male,0
969,Male,1
205,Male,0
35,Male,0
847,Male,1
23,Male,0
821,Male,1
49,Male,0
133,Male,0
257,Male,1
345,Male,0
624,Male,1
195,Male,0
787,Male,1
115,Male,1
913,Male,1
867,Male,1
22,Male,0
927,Male,1
309,Male,0
983,Male,1
