Score,Gender,Accepted
377.0,Female,0.0
358.0,Female,0.0
765.0,Male,1.0
250.0,Female,1.0
336.0,Male,0.0
23.0,Male,0.0
949.0,Female,0.0
828.0,Male,1.0
897.0,Female,1.0
549.0,Female,0.0
941.0,Male,1.0
78.0,Male,0.0
148.0,Male,0.0
353.0,Male,1.0
340.0,Female,0.0
310.0,Female,0.0
638.0,Female,0.0
230.0,Female,0.0
302.0,Female,0.0
900.0,Male,1.0
424.0,Female,0.0
2.0,Male,0.0
492.0,Male,0.0
72.0,Female,0.0
307.0,Female,1.0
788.0,Female,0.0
208.0,Male,0.0
864.0,Female,0.0
145.0,Female,1.0
26.0,Female,0.0
993.0,Male,1.0
717.0,Female,1.0
642.0,Male,1.0
980.0,Male,1.0
980.0,Female,1.0
241.0,Male,0.0
377.0,Male,0.0
399.0,Male,0.0
298.0,Female,0.0
591.0,Male,1.0
324.0,Female,0.0
980.0,Male,1.0
467.0,Male,0.0
350.0,Male,1.0
232.0,Male,0.0
951.0,Female,1.0
263.0,Male,0.0
444.0,Male,0.0
153.0,Female,0.0
607.0,Male,1.0
65.0,Male,0.0
231.0,Male,1.0
900.0,Female,0.0
353.0,Female,0.0
158.0,Male,0.0
981.0,Male,1.0
839.0,Female,0.0
588.0,Male,0.0
677.0,Male,1.0
36.0,Female,0.0
416.0,Female,1.0
501.0,Female,0.0
312.0,Male,1.0
167.0,Male,0.0
452.0,Male,0.0
218.0,Female,0.0
414.0,Male,0.0
424.0,Female,0.0
641.0,Female,0.0
2.0,Female,0.0
641.0,Female,0.0
584.0,Male,1.0
190.0,Male,0.0
859.0,Female,0.0
518.0,Male,0.0
694.0,Female,0.0
866.0,Female,0.0
638.0,Male,1.0
860.0,Male,1.0
800.0,Male,1.0
230.0,Male,0.0
350.0,Female,0.0
172.0,Male,0.0
168.0,Female,0.0
340.0,Male,0.0
5.0,Female,0.0
660.0,Female,0.0
515.0,Female,0.0
235.0,Female,0.0
473.0,Female,0.0
78.0,Male,0.0
634.0,Female,0.0
828.0,Female,0.0
179.0,Female,1.0
235.0,Male,0.0
490.0,Female,0.0
446.0,Male,1.0
179.0,Male,0.0
379.0,Male,0.0
634.0,Male,1.0
949.0,Male,1.0
395.0,Female,0.0
558.0,Male,1.0
953.0,Male,1.0
772.0,Male,1.0
903.0,Female,1.0
78.0,Female,0.0
862.0,Male,0.0
717.0,Male,1.0
959.0,Male,1.0
625.0,Female,0.0
199.0,Female,0.0
518.0,Female,0.0
656.0,Female,0.0
307.0,Male,0.0
518.0,Male,1.0
992.0,Male,1.0
72.0,Male,0.0
517.0,Male,0.0
779.0,Male,1.0
825.0,Female,0.0
752.0,Male,1.0
358.0,Male,0.0
464.0,Male,0.0
980.0,Male,1.0
747.0,Female,0.0
591.0,Female,0.0
561.0,Female,0.0
190.0,Female,0.0
428.0,Male,1.0
864.0,Male,1.0
153.0,Male,1.0
897.0,Male,1.0
205.0,Male,0.0
81.0,Female,0.0
769.0,Male,1.0
168.0,Male,0.0
641.0,Male,1.0
951.0,Male,1.0
96.0,Male,0.0
975.0,Female,1.0
788.0,Male,1.0
901.0,Male,1.0
427.0,Male,0.0
209.0,Male,0.0
317.0,Male,0.0
801.0,Male,1.0
981.0,Male,1.0
860.0,Male,1.0
688.0,Female,0.0
565.0,Female,1.0
81.0,Male,0.0
99.0,Female,1.0
701.0,Male,1.0
104.0,Male,0.0
188.0,Female,0.0
858.0,Male,1.0
694.0,Male,1.0
208.0,Female,0.0
76.0,Male,0.0
241.0,Female,0.0
550.0,Female,0.0
952.0,Male,1.0
67.0,Female,0.0
561.0,Male,0.0
238.0,Male,0.0
901.0,Female,1.0
897.0,Female,1.0
302.0,Male,0.0
959.0,Female,1.0
158.0,Female,0.0
992.0,Female,0.0
335.0,Male,1.0
996.0,Male,1.0
584.0,Female,0.0
672.0,Male,0.0
66.0,Male,0.0
9.0,Male,0.0
52.0,Female,0.0
903.0,Male,1.0
719.0,Male,0.0
747.0,Male,1.0
90.0,Female,0.0
273.0,Female,1.0
273.0,Male,1.0
468.0,Female,0.0
172.0,Male,0.0
71.0,Female,0.0
485.0,Male,0.0
947.0,Female,0.0
399.0,Male,0.0
101.0,Male,0.0
428.0,Female,0.0
591.0,Female,0.0
424.0,Male,0.0
60.0,Female,0.0
226.0,Male,1.0
941.0,Male,1.0
453.0,Male,0.0
169.0,Male,0.0
204.0,Male,0.0
827.0,Female,0.0
674.0,Female,1.0
993.0,Female,0.0
813.0,Male,1.0
655.0,Female,1.0
16.0,Female,0.0
145.0,Male,1.0
692.0,Female,0.0
376.0,Male,1.0
32.0,Female,0.0
204.0,Female,0.0
427.0,Female,0.0
26.0,Male,0.0
501.0,Male,1.0
785.0,Male,1.0
642.0,Male,1.0
47.0,Female,0.0
691.0,Female,0.0
501.0,Male,0.0
336.0,Male,0.0
384.0,Female,0.0
919.0,Female,0.0
692.0,Male,0.0
153.0,Male,1.0
107.0,Female,0.0
206.0,Female,0.0
674.0,Male,0.0
527.0,Female,0.0
688.0,Male,1.0
860.0,Male,1.0
771.0,Female,1.0
312.0,Female,0.0
